episode,reward,steps,epsilon,collision,success
1,18.16,300,0.297,0,0
2,-0.24,300,0.294,0,0
3,9.46,300,0.2911,0,0
4,18.25,300,0.2882,0,0
5,7.99,300,0.2853,0,0
6,187.06,230,0.2824,0,1
7,-58.77,45,0.2796,1,0
8,197.84,65,0.2768,0,1
9,-1.0,300,0.2741,0,0
10,-5.69,300,0.2713,0,0
11,11.98,300,0.2686,0,0
12,-128.26,70,0.2659,1,0
13,15.92,300,0.2633,0,0
14,-137.05,95,0.2606,1,0
15,-54.87,70,0.258,1,0
16,-49.46,49,0.2554,1,0
17,203.04,153,0.2529,0,1
18,10.58,300,0.2504,0,0
19,8.15,300,0.2479,0,0
20,-10.24,300,0.2454,0,0
21,29.17,300,0.2429,0,0
22,-45.14,69,0.2405,1,0
23,-61.08,143,0.2381,1,0
24,12.35,300,0.2357,0,0
25,5.13,300,0.2333,0,0
26,-1.99,300,0.231,0,0
27,213.07,108,0.2287,0,1
28,14.17,300,0.2264,0,0
29,-41.43,43,0.2242,1,0
30,18.57,300,0.2219,0,0
31,17.63,300,0.2197,0,0
32,8.24,300,0.2175,0,0
33,0.84,300,0.2153,0,0
34,202.22,99,0.2132,0,1
35,203.35,120,0.211,0,1
36,-63.59,117,0.2089,1,0
37,10.09,300,0.2068,0,0
38,187.05,263,0.2048,0,1
39,2.79,300,0.2027,0,0
40,180.84,69,0.2007,0,1
41,4.33,300,0.1987,0,0
42,191.53,43,0.1967,0,1
43,-2.56,300,0.1947,0,0
44,5.13,300,0.1928,0,0
45,171.11,86,0.1909,0,1
46,17.21,300,0.1889,0,0
47,15.39,300,0.1871,0,0
48,-59.86,103,0.1852,1,0
49,190.97,36,0.1833,0,1
50,17.28,300,0.1815,0,0
51,3.65,300,0.1797,0,0
52,-74.86,84,0.1779,1,0
53,-2.19,300,0.1761,0,0
54,201.35,75,0.1743,0,1
55,21.1,300,0.1726,0,0
56,200.3,48,0.1709,0,1
57,13.62,300,0.1692,0,0
58,20.8,300,0.1675,0,0
59,-1.46,300,0.1658,0,0
60,-97.77,119,0.1641,1,0
61,171.09,60,0.1625,0,1
62,-13.15,300,0.1609,0,0
63,168.55,179,0.1593,0,1
64,5.58,300,0.1577,0,0
65,24.63,300,0.1561,0,0
66,-5.65,300,0.1545,0,0
67,200.59,149,0.153,0,1
68,10.65,300,0.1515,0,0
69,-33.15,300,0.15,0,0
70,-105.2,42,0.1485,1,0
71,3.07,300,0.147,0,0
72,-8.22,300,0.1455,0,0
73,2.25,300,0.144,0,0
74,10.39,300,0.1426,0,0
75,198.9,47,0.1412,0,1
76,-2.39,300,0.1398,0,0
77,10.53,300,0.1384,0,0
78,18.35,300,0.137,0,0
79,20.75,300,0.1356,0,0
80,196.19,139,0.1343,0,1
81,205.83,51,0.1329,0,1
82,-19.47,300,0.1316,0,0
83,5.32,300,0.1303,0,0
84,12.33,300,0.129,0,0
85,13.68,300,0.1277,0,0
86,30.44,300,0.1264,0,0
87,184.12,157,0.1251,0,1
88,-16.7,300,0.1239,0,0
89,-3.23,300,0.1226,0,0
90,209.39,65,0.1214,0,1
91,33.22,300,0.1202,0,0
92,203.09,40,0.119,0,1
93,195.86,47,0.1178,0,1
94,-53.09,37,0.1166,1,0
95,-47.18,42,0.1155,1,0
96,15.84,300,0.1143,0,0
97,35.59,300,0.1132,0,0
98,-126.59,4,0.112,1,0
99,-135.97,10,0.1109,1,0
100,-43.69,104,0.1098,1,0
101,13.79,300,0.1087,0,0
102,21.17,300,0.1076,0,0
103,10.31,300,0.1065,0,0
104,27.83,300,0.1055,0,0
105,15.64,300,0.1044,0,0
106,12.84,300,0.1034,0,0
107,29.0,300,0.1023,0,0
108,-88.78,133,0.1013,1,0
109,11.48,300,0.1003,0,0
110,-123.95,13,0.0993,1,0
111,22.47,300,0.0983,0,0
112,7.56,300,0.0973,0,0
113,205.15,81,0.0964,0,1
114,-10.29,300,0.0954,0,0
115,26.94,300,0.0944,0,0
116,37.19,300,0.0935,0,0
117,-43.71,60,0.0926,1,0
118,188.37,43,0.0916,0,1
119,221.89,71,0.0907,0,1
120,189.2,141,0.0898,0,1
121,3.26,300,0.0889,0,0
122,12.6,300,0.088,0,0
123,18.5,300,0.0871,0,0
124,7.98,300,0.0863,0,0
125,0.79,300,0.0854,0,0
126,-5.11,300,0.0846,0,0
127,197.06,69,0.0837,0,1
128,-44.37,94,0.0829,1,0
129,-66.53,300,0.082,0,0
130,167.11,77,0.0812,0,1
131,-44.92,69,0.0804,1,0
132,30.2,300,0.0796,0,0
133,196.73,79,0.0788,0,1
134,27.73,300,0.078,0,0
135,-150.91,142,0.0772,1,0
136,181.69,24,0.0765,0,1
137,4.33,300,0.0757,0,0
138,25.64,300,0.075,0,0
139,14.84,300,0.0742,0,0
140,-79.56,47,0.0735,1,0
141,205.6,56,0.0727,0,1
142,10.25,300,0.072,0,0
143,0.08,300,0.0713,0,0
144,-141.61,160,0.0706,1,0
145,4.54,300,0.0699,0,0
146,14.76,300,0.0692,0,0
147,188.7,34,0.0685,0,1
148,2.34,300,0.0678,0,0
149,16.15,300,0.0671,0,0
150,15.92,300,0.0664,0,0
151,19.67,300,0.0658,0,0
152,180.68,33,0.0651,0,1
153,200.38,34,0.0645,0,1
154,-12.11,300,0.0638,0,0
155,-92.21,26,0.0632,1,0
156,-33.44,300,0.0625,0,0
157,-46.51,69,0.0619,1,0
158,3.11,300,0.0613,0,0
159,197.28,55,0.0607,0,1
160,20.57,300,0.0601,0,0
161,13.82,300,0.0595,0,0
162,184.33,49,0.0589,0,1
163,13.77,300,0.0583,0,0
164,7.72,300,0.0577,0,0
165,-52.27,59,0.0571,1,0
166,-9.11,300,0.0566,0,0
167,10.44,300,0.056,0,0
168,-59.67,160,0.0554,1,0
169,24.95,300,0.0549,0,0
170,-12.9,300,0.0543,0,0
171,196.94,45,0.0538,0,1
172,16.18,300,0.0533,0,0
173,6.1,300,0.0527,0,0
174,10.26,300,0.0522,0,0
175,18.38,300,0.0517,0,0
176,10.13,300,0.0512,0,0
177,-78.06,260,0.0506,1,0
178,-59.31,44,0.0501,1,0
179,-122.0,3,0.0496,1,0
180,13.84,300,0.0496,0,0
181,11.34,300,0.0496,0,0
182,11.1,300,0.0496,0,0
183,17.09,300,0.0496,0,0
184,37.59,300,0.0496,0,0
185,27.68,300,0.0496,0,0
186,24.91,300,0.0496,0,0
187,-18.19,300,0.0496,0,0
188,18.51,300,0.0496,0,0
189,193.39,41,0.0496,0,1
190,31.52,300,0.0496,0,0
191,-47.99,25,0.0496,1,0
192,23.19,300,0.0496,0,0
193,23.02,300,0.0496,0,0
194,9.46,300,0.0496,0,0
195,32.74,300,0.0496,0,0
196,18.22,300,0.0496,0,0
197,12.75,300,0.0496,0,0
198,-141.06,81,0.0496,1,0
199,11.3,300,0.0496,0,0
200,6.18,300,0.0496,0,0
201,-5.29,300,0.0496,0,0
202,21.16,300,0.0496,0,0
203,8.03,300,0.0496,0,0
204,21.31,300,0.0496,0,0
205,18.72,300,0.0496,0,0
206,13.74,300,0.0496,0,0
207,-0.71,300,0.0496,0,0
208,197.44,43,0.0496,0,1
209,15.45,300,0.0496,0,0
210,210.01,46,0.0496,0,1
211,17.77,300,0.0496,0,0
212,11.23,300,0.0496,0,0
213,6.25,300,0.0496,0,0
214,194.51,85,0.0496,0,1
215,207.49,45,0.0496,0,1
216,193.97,236,0.0496,0,1
217,-1.76,300,0.0496,0,0
218,6.24,300,0.0496,0,0
219,177.25,37,0.0496,0,1
220,179.86,55,0.0496,0,1
221,-124.45,74,0.0496,1,0
222,14.15,300,0.0496,0,0
223,-18.85,300,0.0496,0,0
224,0.26,300,0.0496,0,0
225,202.98,67,0.0496,0,1
226,-7.83,300,0.0496,0,0
227,24.34,300,0.0496,0,0
228,6.35,300,0.0496,0,0
229,180.97,29,0.0496,0,1
230,197.56,107,0.0496,0,1
231,193.0,145,0.0496,0,1
232,203.12,121,0.0496,0,1
233,198.37,45,0.0496,0,1
234,25.77,300,0.0496,0,0
235,-117.4,73,0.0496,1,0
236,210.04,56,0.0496,0,1
237,17.1,300,0.0496,0,0
238,20.95,300,0.0496,0,0
239,-0.44,300,0.0496,0,0
240,181.51,48,0.0496,0,1
241,16.35,300,0.0496,0,0
242,199.18,42,0.0496,0,1
243,6.69,300,0.0496,0,0
244,210.42,167,0.0496,0,1
245,16.37,300,0.0496,0,0
246,4.86,300,0.0496,0,0
247,187.92,38,0.0496,0,1
248,193.9,146,0.0496,0,1
249,176.44,46,0.0496,0,1
250,9.88,300,0.0496,0,0
251,209.33,43,0.0496,0,1
252,202.96,51,0.0496,0,1
253,8.37,300,0.0496,0,0
254,28.14,300,0.0496,0,0
255,2.17,300,0.0496,0,0
256,-2.98,300,0.0496,0,0
257,199.63,89,0.0496,0,1
258,171.25,31,0.0496,0,1
259,189.23,38,0.0496,0,1
260,186.17,26,0.0496,0,1
261,192.9,95,0.0496,0,1
262,10.86,300,0.0496,0,0
263,190.14,34,0.0496,0,1
264,180.83,37,0.0496,0,1
265,-22.79,300,0.0496,0,0
266,172.65,19,0.0496,0,1
267,20.04,300,0.0496,0,0
268,-3.25,300,0.0496,0,0
269,193.0,46,0.0496,0,1
270,173.35,272,0.0496,0,1
271,205.4,41,0.0496,0,1
272,204.45,53,0.0496,0,1
273,-156.2,185,0.0496,1,0
274,6.02,300,0.0496,0,0
275,15.86,300,0.0496,0,0
276,192.11,62,0.0496,0,1
277,181.79,40,0.0496,0,1
278,166.23,69,0.0496,0,1
279,199.45,44,0.0496,0,1
280,-127.3,30,0.0496,1,0
281,-70.66,69,0.0496,1,0
282,205.53,46,0.0496,0,1
283,191.23,41,0.0496,0,1
284,188.09,39,0.0496,0,1
285,-10.31,300,0.0496,0,0
286,-51.74,25,0.0496,1,0
287,20.01,300,0.0496,0,0
288,178.53,29,0.0496,0,1
289,-75.59,264,0.0496,1,0
290,-145.45,126,0.0496,1,0
291,18.37,300,0.0496,0,0
292,194.77,74,0.0496,0,1
293,183.18,29,0.0496,0,1
294,195.45,38,0.0496,0,1
295,170.12,74,0.0496,0,1
296,25.35,300,0.0496,0,0
297,190.46,37,0.0496,0,1
298,-136.5,90,0.0496,1,0
299,-24.06,300,0.0496,0,0
300,23.55,300,0.0496,0,0
